POS
"(2.0245297931697337, -5.050631995053997)"
"(0.018874867219030526, -5.569956991629721)"
"(-6.615071193663852, -4.881402759152743)"
"(6.004566290068108, -4.017040530705011)"
"(7.01433989614091, 0.7842271809307375)"
"(3.075043583673492, 0.7352103722362258)"
"(-3.4421946941850106, -2.250554205126285)"
"(4.315704962901698, 5.274171828494138)"
"(5.670725879639027, -5.558993377496799)"
"(1.895891691765021, 7.404474680490521)"
"(-6.698979857197916, 0.8228548128751112)"
"(9.322399131478278, -1.3490588004913888)"
"(1.9942515321441963, -1.5100453698248824)"
"(-3.856948187027414, -4.179548188711531)"
"(-3.7230732429229993, 1.5043700111444667)"
"(0.5602920325025873, -3.5109892465933603)"
"(-2.724575850330903, 3.782896002517288)"
"(4.172254143303303, 0.9432331481258442)"
"(0.3745131557503917, 2.548876407605281)"
"(-3.659183115776594, -4.238202237315407)"
"(-3.0561751941589, 4.3429572687247235)"
"(1.6621055113798529, -3.6284995112594243)"
"(4.411531346607759, 6.373040797192251)"
"(2.6254292648154522, 6.976348477541142)"
"(0.8754091857350103, 9.53198671129736)"
"(3.0890625449121867, -9.265762343342558)"
"(4.053229289471732, 3.4333721971106645)"
"(9.241211039588105, -1.980770514578609)"
"(1.5759027076446457, -6.468811943695071)"
"(10.278791667503677, -0.4964275692732461)"
"(-1.2484469974457086, -6.132019644665868)"
"(0.46224853880797934, -3.4692608811379984)"
"(-7.78019858992506, 1.0269820269890704)"
"(1.0344733388817218, 7.13194059487589)"
"(1.013868279521254, 7.110435982505936)"
"(-5.528752464471635, 5.625936747282115)"
"(9.24761733306867, -0.537296720757725)"
"(8.150802536357356, -0.5012672097828911)"
"(2.074117534632968, 4.473247632488555)"
"(9.250663331726628, -0.5654945128380862)"
"(4.907141145318061, -6.948952628425853)"
"(7.288031660320079, 0.6813589086909878)"
"(2.40612797211942, 4.681010682177666)"
"(4.06976081593843, 3.9331932866460457)"
"(-3.901890504201232, -7.56976554551739)"
"(-0.6250159383036449, -8.314083119035946)"
"(-0.7100483745690461, 5.268194454701408)"
"(-2.6413444426273935, 7.515456602597697)"
"(8.36272634192498, -0.8240350110868695)"
"(6.5534079362917925, -0.716468174307813)"
"(-3.0229321415890817, 5.636705372028993)"
"(4.2567248200859, 1.8323814069703643)"
"(8.36272634192498, -0.8240350110868695)"
"(-4.666341029572697, -2.201927495743915)"
